Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
279427,278269,-1158,-0.41441951
7261451,7261552,101,0.00139091
1034037,1032512,-1525,-0.14748022
140521,137803,-2718,-1.93423047
6492,4359,-2133,-32.85582255
2517,316,-2201,-87.44537147
202064,198446,-3618,-1.79052181
8647082,8634988,-12094,-0.13986221
8926509,8913257,-13252,-0.14845669
