Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
744272,743955.0,-317.0,-0.04259196
2923706,2923743.0,37.0,0.00126552
1799355,1799260.0,-95.0,-0.00527967
7494,6046.0,-1448.0,-19.32212437
395663,395191.0,-472.0,-0.11929344
1944,851.0,-1093.0,-56.22427984
36201,34352.0,-1849.0,-5.10759371
262103,261758.0,-345.0,-0.13162764
5426466,5421201.0,-5265.0,-0.09702447
6170738,6165156.0,-5582.0,-0.0904592
