Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
62758,62625,-133,-0.21192517
1214784,1214632,-152,-0.01251251
19214,18946,-268,-1.39481628
1078,863,-215,-19.94434137
35730,35646,-84,-0.23509656
254,90,-164,-64.56692913
5176,4863,-313,-6.04714065
48840,48725,-115,-0.23546274
1325076,1323765,-1311,-0.09893772
1387834,1386390,-1444,-0.10404703
