Source_ACS_BG,Target_Precinct,Difference,Pct_Difference
46818,46473,-345,-0.73689607
1308153,1308379,226,0.01727627
808156,808244,88,0.01088899
15953,15094,-859,-5.38456717
7648,7053,-595,-7.77981172
1019,338,-681,-66.83022571
34509,34009,-500,-1.44889739
2175438,2173117,-2321,-0.10669116
2222256,2219590,-2666,-0.11996818
